category,subcategory,service_type,name,short_description,description,duration,session,price,benefits,image,short_description_suggested,description_suggested
Kosmetika,Obočí a řasy,single,Lifting řas,Přirozený curl pro dlouhodobě otevřený pohled,"Nechte své řasy přirozeně natočit a zvednout pro efekt delších a výraznějších řas. Šetrná fixace vydrží 4-6 týdnů bez poškození. Vaše oči vypadají otevřeněji, svěže a bez potřeby natáčeček.",45,1,1000,"Přirozený curl, výrazný pohled, dlouhodobý efekt 4-6 týdnů, bez poškození",service-cosmetic.jpg,Profesionální lifting řas pro viditelné zlepšení. Přirozený curl. Délka: 45 min.,"Lifting řas je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Přirozený curl
• výrazný pohled
• dlouhodobý efekt 4-6 týdnů
• bez poškození

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 45 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Laminace obočí,Profesionální styling pro plné a poslušné obočí,"Stylizujte každý chloupek na správné místo a zafixujte tvar pro efekt plnějšího obočí. Bezbolestný proces vydrží 4-6 týdnů. Vaše obočí je výrazné, upravené a perfektně tvarované.",45,1,600,"Plnější vzhled, dlouhodobá fixace, přirozený efekt, bez bolesti",service-cosmetic.jpg,Profesionální laminace obočí pro viditelné zlepšení. Plnější vzhled. Délka: 45 min.,"Laminace obočí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Plnější vzhled
• dlouhodobá fixace
• přirozený efekt
• bez bolesti

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 45 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,single,Laminace obočí s barvením,"Dokonalé obočí s plností, tvarem i barvou","Kombinujte styling s precizním barvením pro úplně dokonalé obočí. Každý chloupek má správnou barvu i směr pro efekt, který vydrží 4-6 týdnů. Vaše obočí je plné, sjednocené a nevyžaduje denní úpravu.",50,1,1000,"Plný tvar, sjednocená barva, dlouhodobý efekt, přirozený vzhled",service-cosmetic.jpg,Profesionální laminace obočí s barvením pro viditelné zlepšení. Plný tvar. Délka: 50 min.,"Laminace obočí s barvením je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Plný tvar
• sjednocená barva
• dlouhodobý efekt
• přirozený vzhled

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 50 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Laminace obočí + Lifting řas,Kompletní úprava obočí i řas v jednom sezení,"Dopřejte si komplexní péči o obočí i řasy najednou včetně barvení obou partií. Za jednu návštěvu získáte výrazný a ucelený vzhled, který vydrží 4-6 týdnů. Ušetříte čas i peníze oproti samostatným ošetřením.",90,1,1500,"Kompletní úprava, výrazný vzhled, dlouhodobý efekt, úspora času",service-cosmetic.jpg,Profesionální laminace obočí + lifting řas pro viditelné zlepšení. Kompletní úprava. Délka: 90 min.,"Laminace obočí + Lifting řas je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Kompletní úprava
• výrazný vzhled
• dlouhodobý efekt
• úspora času

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 90 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Lifting řas + Ošetření pleti,Krásné řasy a svěží pleť v jednom ošetření,"Zatímco působí fixace na vašich řasách, věnujeme se čištění a hydrataci pleti. Efektivní spojení dvou služeb šetří váš čas. Vaše řasy jsou natočené a výrazné, pleť svěží a hydratovaná.",90,1,800,"Natočené řasy, ošetřená pleť, efektivní využití času, kompletní péče",service-cosmetic.jpg,Profesionální lifting řas + ošetření pleti pro viditelné zlepšení. Natočené řasy. Délka: 90 min.,"Lifting řas + Ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Natočené řasy
• ošetřená pleť
• efektivní využití času
• kompletní péče

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 90 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Laminace obočí + Ošetření pleti,Upravené obočí a ošetřená pleť najednou,Během fixace obočí se postaráme o čištění a hydrataci vaší pleti. Praktické řešení pro komplexní péči v jednom sezení. Vaše obočí je perfektně tvarované a pleť svěží.,75,1,500,"Upravené obočí, ošetřená pleť, úspora času, praktické řešení",service-cosmetic.jpg,Profesionální laminace obočí + ošetření pleti pro viditelné zlepšení. Upravené obočí. Délka: 75 min.,"Laminace obočí + Ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Upravené obočí
• ošetřená pleť
• úspora času
• praktické řešení

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 75 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Laminace obočí s barvením + Ošetření pleti,Dokonalé obočí s kompletní péčí o pleť,"Kombinujeme laminaci a barvení obočí s ošetřením pleti pro maximální efektivitu. Zatímco působí produkty, ošetřujeme vaši pleť. Vaše obočí je dokonalé a pleť svěží.",80,1,750,"Dokonalé obočí, svěží pleť, efektivní péče, kompletní úprava",service-cosmetic.jpg,Profesionální laminace obočí s barvením + ošetření pleti pro viditelné zlepšení. Dokonalé obočí. Délka: 80 min.,"Laminace obočí s barvením + Ošetření pleti je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Dokonalé obočí
• svěží pleť
• efektivní péče
• kompletní úprava

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 80 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Kosmetika,Obočí a řasy,package,Ošetření pleti + Barvení řas a obočí,Svěží pleť a výrazný pohled v jednom,"Spojte osvěžující ošetření pleti s profesionálním barvením řas i obočí. Vše v jednom sezení pro komplexní péči. Vaše pleť je čistá a svěží, oči výrazné a pohled probudí.",75,1,1250,"Ošetřená pleť, výrazné oči, komplexní péče, dlouhodobý efekt",service-cosmetic.jpg,Profesionální ošetření pleti + barvení řas a obočí pro viditelné zlepšení. Ošetřená pleť. Délka: 75 min.,"Ošetření pleti + Barvení řas a obočí je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Ošetřená pleť
• výrazné oči
• komplexní péče
• dlouhodobý efekt

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 75 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Tvarování těla,Budování svalů,single,Budování svalů – 1 partie,EMS trénink jedné partie pro rychlé posílení,"EMS trénink jedné partie (cca 30 000 supramaximálních kontrakcí): posílení svalů, zlepšení tonusu a lokální podpora spalování tuků. Rychlé, efektivní a šetrné.",60,1,1300,"Posílení svalů, zlepšení tonusu, lokální spalování tuků, rychlý a šetrný trénink",service-ems.jpg,Profesionální budování svalů – 1 partie pro viditelné zlepšení. Posílení svalů. Délka: 60 min.,"Budování svalů – 1 partie je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Posílení svalů
• zlepšení tonusu
• lokální spalování tuků
• rychlý a šetrný trénink

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Tvarování těla,Budování svalů,single,Budování svalů – 2 partie,Intenzivní aktivace dvou partií současně,"EMS trénink dvou partií: intenzivní svalová aktivace, zpevnění a formování. Vhodné pro kombinace jako břicho + zadek.",60,1,1300,"Zpevnění a formování, současná aktivace dvou partií, efektivní kombinace oblastí",service-ems.jpg,Profesionální budování svalů – 2 partie pro viditelné zlepšení. Zpevnění a formování. Délka: 60 min.,"Budování svalů – 2 partie je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Zpevnění a formování
• současná aktivace dvou partií
• efektivní kombinace oblastí

Plán a doporučení:
Doporučený plán: 1. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
Tvarování těla,Budování svalů,package,Budování svalů – balíček 2 partie (5 ošetření),Balíček 5 EMS ošetření pro 2 partie,"Balíček EMS: strukturovaný tréninkový plán pro dlouhodobé výsledky. Postupné zpevnění, tvarování a zlepšení vytrvalosti svalů.",60,5,6175,"Dlouhodobé výsledky, postupné zpevnění, tvarování postavy, zlepšení vytrvalosti",service-ems.jpg,Profesionální budování svalů – balíček 2 partie (5 ošetření) pro viditelné zlepšení. Dlouhodobé výsledky. Délka: 60 min.,"Budování svalů – balíček 2 partie (5 ošetření) je pečlivě navržené ošetření, které cílí na klíčové potřeby pleti i těla a přináší viditelné zlepšení vzhledu i komfortu.

Jak to probíhá:
Průběh je relaxační a zároveň účinný; techniky a intenzitu volíme individuálně podle cíle ošetření. Po ošetření je obvyklý okamžitý pocit svěžesti a postupně se zlepšuje vzhled pleti či kontur.

**Co tím získáte:**
• Dlouhodobé výsledky
• postupné zpevnění
• tvarování postavy
• zlepšení vytrvalosti

Plán a doporučení:
Doporučený plán: 5. Délka ošetření: 60 min. Pro nejlepší výsledek doporučujeme pravidelnost a domácí péči podle našich tipů.

Kontraindikace: těhotenství, akutní záněty, otevřené rány, kovové implantáty v ošetřované oblasti a závažné kardiovaskulární potíže. Vždy nás prosím informujte o svém zdravotním stavu."
