CategoryId,CategoryName,PackageName,Price,Sessions,Description
kosmetika,KOSMETIKA,Dermapen rty,700Kč,1,"Mikrojehličkování rtů Dermapenem pro hydrataci a omlazení. Zlepšuje texturu, plnost a kontury rtů. Stimuluje kolagen, redukuje jemné vrásky kolem úst. Bezpečné a efektivní ošetření pro mladší vzhled rtů."
budovani-svalu,BUDOVÁNÍ SVALŮ,"Budování svalů 1 partie (30 minut) Břicho, nohy, stehna, zadek, paže, lýtka",900Kč,1,"Elektrostimulace svalů pro jednu partii těla - 20 minut EMS odpovídá 4-5 hodinám v posilovně. Buduje svaly, spaluje tuk, zlepšuje tonus. Založeno na 30 000 supramaximálních kontrakcí. Ideální pro začátečníky nebo cílené posilování. Vhodné pro regeneraci po tréninku."
budovani-svalu,BUDOVÁNÍ SVALŮ,"Budování svalů 2 partie (30 minut) Břicho/zadek, stehna/zadek, paže/břicho",1 300Kč,1,"Elektrostimulace svalů pro dvě partie těla - 20 minut EMS odpovídá 4-5 hodinám v posilovně. Buduje svaly, spaluje tuk a zlepšuje tonus. Založeno na 30 000 supramaximálních kontrakcí. Viditelné výsledky po 3-5 sezeních, vhodné pro regeneraci."
budovani-svalu,BUDOVÁNÍ SVALŮ,Balíček Budování svalů 2 partie (30 minut) 5 ošetření sleva 5%,6 175Kč,1,"Balíček 5 ošetření EMS pro dvě partie těla se slevou 5%. Elektrostimulace buduje svaly, spaluje tuk, zlepšuje tonus. Komplexní trénink s 30 000 kontrakcí. Viditelné výsledky po kurzu. Ideální pro dlouhodobé změny postavy."
budovani-svalu,BUDOVÁNÍ SVALŮ,Balíček Budování svalů 2 partie (30 minut) 8 ošetření sleva 10%,9 360Kč,1,"Balíček 8 ošetření EMS pro dvě partie se slevou 10%. Intenzivní elektrostimulace pro budování svalů a spalování tuku. 30 000 kontrakcí za sezení. Doporučujeme pro maximální výsledky a udržení formy. Profesionální trénink bez námahy."
budovani-svalu,BUDOVÁNÍ SVALŮ,Budování svalů kombo 2 partie (60 minut),2 100Kč,1,"Intenzivní EMS trénink pro dvě partie po dobu 60 minut. Extrémní výsledky díky simultánnímu zatížení svalových skupin. 30 000 supramaximálních kontrakcí. Maximální spalování tuku a budování svalů. Ideální pro rychlé výsledky a regeneraci po tréninku."
budovani-svalu,BUDOVÁNÍ SVALŮ,Balíček Budování kombo 2 partie (60 minut) 5 ošetření sleva 10%,9 450Kč,1,"Balíček 5 intenzivních EMS ošetření pro dvě partie se slevou 10%. Simultánní trénink svalových skupin pro extrémní výsledky. 30 000 kontrakcí za 60 minut. Maximální spalování tuku a budování svalů. Doporučujeme pro profesionální výsledky."
budovani-svalu,BUDOVÁNÍ SVALŮ,Balíček Budování kombo 2 partie (60 minut) 10 ošetření sleva 15%,17 850Kč,1,"Prémiový balíček 10 EMS ošetření pro dvě partie se slevou 15%. Nejúčinnější program pro transformaci postavy. Intenzivní trénink s 30 000 kontrakcí. Viditelné výsledky po celém kurzu. Ideální pro dlouhodobou údržbu fitness."
hifu,HIFU FACELIFT,HIFU facelift celý obličej bez očního okolí (60 minut),5 500Kč,1,"Neinvazivní lifting obličeje pomocí fokusovaného ultrazvuku HIFU 7D. Stimuluje tvorbu kolagenu a elastinu pro pevnější pleť bez operace. Viditelné výsledky po 1 ošetření, zlepšují se měsíce. Ideální pro redukci vrásek a zpevnění kontur."
hifu,HIFU FACELIFT,HIFU facelift celý obličej + krk (90 minut),6 500Kč,1,"Kompletní HIFU lifting obličeje a krku pomocí fokusovaného ultrazvuku 7D. Nejkomplexnější anti-aging ošetření pro vypnutí pleti, redukci vrásek a zpevnění kontur. Maximální efekt bez operace. Výsledky trvají měsíce."
hifu,HIFU FACELIFT,"HIFU facelift  krk, podbradek (45 minut)",3 900Kč,1,"Cílený HIFU lifting krku a podbradku pro řešení povolené kůže a dvojité brady. Fokusovaný ultrazvuk stimuluje kolagen, zpevňuje kontury. Ideální pro spodní část obličeje. Bezpečné a efektivní bez chirurgického zákroku."
hifu,HIFU FACELIFT,"HIFU facelift čelo, oční okolí (30 minut)",2 900Kč,1,"Jemné HIFU ošetření čela a očního okolí pro redukci vrásek a zpevnění víček. Fokusovaný ultrazvuk stimuluje kolagen v jemných partiích. Zlepšuje kontury očí, redukuje vrásky. Šetrné a účinné omlazení horní části obličeje."
hifu,HIFU FACELIFT,HIFU facelift dolní část obličeje + podbradek( 60 minut),4 500Kč,1,"HIFU lifting dolní části obličeje a podbradku pro zpevnění kontur a redukci povolené kůže. Fokusovaný ultrazvuk stimuluje kolagen, zlepšuje ovál obličeje. Ideální pro mladší vzhled dolní partie. Výsledky bez operace."
hifu,HIFU FACELIFT,HIFU facelift oblast očí (30 minut),2 000Kč,1,"Specializované HIFU ošetření oční oblasti pro zpevnění víček a vytvarování kontur. Fokusovaný ultrazvuk redukuje vrásky kolem očí, zlepšuje elasticitu. Šetrné omlazení citlivé partie. Viditelné výsledky bez invazivních metod."
hifu,HIFU TĚLO,"HIFU formování postavy břicho( cena je závislá na počtu impulzů, nutná konzultace)",6500-10000,1,"HIFU formování břicha pomocí fokusovaného ultrazvuku pro štíhlení a redukci tukových zásob. Cena závisí na počtu impulzů a velikosti partie. Nutná konzultace. Neinvazivní liposukce bez operace. Výsledky po 2-3 měsících."
hifu,HIFU TĚLO,"HIFU formování postavy břicho horní část ( cena je závislá na počtu impulzů, nutná konzultace)",3900-4500,1,"Cílené HIFU ošetření horní části břicha pro štíhlení a redukci lokálního tuku. Cena závisí na impulzech. Nutná konzultace. Bezpečná neinvazivní metoda pro konturování postavy. Zlepšuje elasticitu pleti."
hifu,HIFU TĚLO,"HIFU formování postavy břicho dolní část ( cena je závislá na počtu impulzů, nutná konzultace)",3900-4900,1,"HIFU formování dolní části břicha pro štíhlení a redukci tukových zásob. Cena závisí na impulzech a velikosti. Nutná konzultace. Efektivní konturování postavy bez diety. Výsledky trvají dlouhodobě."
hifu,HIFU TĚLO,HIFU formování postavy paže,4 900Kč,1,"HIFU formování paží pro štíhlení a redukci tukových zásob. Fokusovaný ultrazvuk zpevňuje pokožku, zlepšuje kontury. Neinvazivní metoda pro krásné paže bez cvičení. Viditelné výsledky po 4-6 týdnech."
hifu,HIFU TĚLO,"HIFU formování postavy stehna( přední, nebo zadní část) 1 varianta",6 500Kč,1,Formování postavy stehna a zmenšení tukvých zásob pomocí technologie HIFU 7D
hifu,HIFU TĚLO,HIFU formování postavy stehna přední i zadní část,9 000Kč,1,Formování postavy stehna zeštíhlení stehen a zmenšení tukvých zásob pomocí technologie HIFU 7D
hifu,HIFU TĚLO,"HIFU formování postavy kolena, omlazení kolen",3 500Kč,1,"Formování postavy kolena, zeštíhlení kolen a zmenšení tukvých zásob pomocí technologie HIFU 7D"
hifu,HIFU TĚLO,"HIFU liftingový balíček obličej, krk, dekolt",8 900Kč,1,"Kompletní ošetření celého obličeje a dekoltu pro komplexní omlazení a vypnutí pleti pomocí technologie HIFU 7D, Lifting, povadlá tvář, neinvazivní zákrok"
hifu,HIFU TĚLO,"HIFU tvarování těla (břicho, paže) do určitého počtu impulzů nutná konzultace",12 900Kč,1,"Kompletní ošetření celého břicha a paží pro komplexní omlazení a vypnutí, zeštíhlení pomocí technologie HIFU 7D, Lifting, povadlá tvář, neinvazivní zákrok"
endosphere,ENDOS-ROLLER,Endos-roller ruce 45 minut,850Kč,1,"Kompresní mikro-vibrace rukou pomocí Endos-roller pro zlepšení lymfatické drenáže a tonizaci pokožky. Redukuje otoky, zlepšuje cirkulaci. Šetrné ošetření pro uvolnění a detoxikaci rukou. Výsledky po několika sezeních."
endosphere,ENDOS-ROLLER,"Endos-roller 1 partie břicho, zadek, nohy 45 minut",1 050Kč,1,"Kompresní mikro-vibrace s 55 silikonovými kuličkami pro jednu partii těla. Zlepšuje lymfatickou drenáž, redukuje celulitidu a zadržování tekutin. Tonizuje pokožku a svaly bez bolesti. Výsledky po 3-5 ošetřeních, ideální pro konturování postavy."
endosphere,ENDOS-ROLLER,Endos-roller balíček 5 ošetření za 1 partii - sleva 10%,4 725Kč,1,"Balíček 5 Endos-roller ošetření pro jednu partii se slevou 10%. Kompresní vibrace zeštíhlují, odvodňují, redukují celulitidu a těžké nohy. Konturuje postavu, odvádí toxiny. Ideální pro dlouhodobé výsledky."
endosphere,ENDOS-ROLLER,Endos-roller balíček 10 ošetření za 1 partii - sleva 15%,8 925Kč,1,"Prémiový balíček 10 Endos-roller ošetření pro jednu partii se slevou 15%. Intenzivní program pro maximální výsledky. Redukuje celulitidu, odvodňuje, konturuje postavu. Profesionální péče pro dlouhodobou údržbu."
endosphere,ENDOS-ROLLER,"Endos-roller 2 břicho/ ruce, nohy/zadek 60 minut",1 500Kč,1,"Endos-roller ošetření dvou partií těla za 60 minut. Kompresní vibrace zeštíhlují, odvodňují, redukují celulitidu a těžké nohy. Konturuje postavu, odvádí toxiny. Účinné pro komplexní péči o více partií."
endosphere,ENDOS-ROLLER,Endos-roller - celé tělo 75 minut skvělý na rozjetí celého lymfatického systému,1 900Kč,1,"Kompletní Endos-roller ošetření celého těla za 75 minut. Skvělé pro rozjetí lymfatického systému, detoxikaci a celkové odvodnění. Redukuje celulitidu, zlepšuje cirkulaci. Maximální efekt pro celkovou harmonii těla."
endosphere,ENDOS-ROLLER,Endos-roller balíček 6 ošetření celé tělo - sleva 10%,10 260Kč,1,"Balíček 6 kompletních Endos-roller ošetření celého těla se slevou 10%. Intenzivní program pro detoxikaci, odvodnění a konturování postavy. Zlepšuje lymfatický systém a celkovou vitalitu."
endosphere,ENDOS-ROLLER,Endos-roller balíček 10 ošetření celé tělo - sleva 15%,16 150Kč,1,"Prémiový balíček 10 kompletních ošetření celého těla se slevou 15%. Maximální detoxikace, odvodnění a formování postavy. Profesionální péče pro dlouhodobé zdraví a krásu."
endosphere,ENDOS-ROLLER,Endos-roller obličej a dekolt 30 minut,600Kč,1,"Jemné Endos-roller ošetření obličeje a dekoltu pro odvodnění a liftingový efekt. Redukuje otoky, zlepšuje cirkulaci, vytváří jemný lifting. Ideální pro osvěžení a detoxikaci obličeje."
endosphere,ENDOS-ROLLER,Endos-roller obličej a dekolt balíček 6 ošetření sleva 10%,3 240Kč,1,"Balíček 6 ošetření obličeje a dekoltu se slevou 10%. Pravidelná péče pro odvodnění, lifting a detoxikaci. Zlepšuje kvalitu pleti a kontury obličeje."
endosphere,ENDOS-ROLLER,Endos-roller obličej balíček a dekolt 10 ošetření sleva 15%,5 100Kč,1,"Prémiový balíček 10 ošetření obličeje a dekoltu se slevou 15%. Intenzivní program pro odvodnění, lifting a detoxikaci. Zlepšuje kvalitu pleti, kontury a vitalitu obličeje."
kavitace,KAVITACE,Kavitace paže (45 minut),900Kč,1,"Ultrazvuková lipokavitace paží pro redukci lokálního tuku a konturování. Bezpečná neinvazivní metoda bez operace. Zlepšuje elasticitu pleti, odbourává tukové buňky. Výsledky po 3-5 sezeních."
kavitace,KAVITACE,Kavitace břicho (50minut),1 100Kč,1,"Ultrazvuková kavitace břicha pro redukci břišního tuku a štíhlení postavy. Efektivní metoda pro odbourávání tukových zásob bez diety. Zlepšuje kontury, odvodňuje. Viditelné výsledky po kurzu."
kavitace,KAVITACE,Kavitace nohy (50minut),1 100Kč,1,"Ultrazvuková kavitace nohou pro redukci tuku na stehnech a lýtkách. Zlepšuje kontury nohou, redukuje celulitidu. Neinvazivní metoda pro štíhlé nohy bez cvičení. Výsledky trvají dlouhodobě."
kavitace,KAVITACE,Kavitace zadek (50minut),1 100Kč,1,"Ultrazvuková kavitace zadku pro zpevnění a konturování. Redukuje lokální tuk, zlepšuje tvar a elasticitu. Bezpečná metoda pro krásný zadek bez operace. Doporučujeme kurz pro maximální efekt."
kavitace,KAVITACE,2 partie (100 minut),2 000Kč,1,"Ultrazvuková kavitace dvou partií těla za 100 minut. Komplexní redukce tuku, konturování postavy. Úspora času, maximální výsledky. Ideální pro kombinaci partií jako břicho + stehna."
ostatni-sluzby,LPG,LPG celé tělo 60 minut,1 600Kč,1,"LPG endermologie celého těla pro lymfatickou drenáž, redukci celulitidy a konturování postavy. Mechanická masáž zlepšuje cirkulaci, odvodňuje, zpevňuje pokožku. Profesionální metoda pro zdravou a krásnou pleť."
ostatni-sluzby,OSTATNÍ SLUŽBY,Obličejová modelace a lifting komginace 2 technologií,700Kč,1,"Kombinace dvou technologií pro modelaci a lifting obličeje. Zpevňuje kontury, odvodňuje, redukuje vrásky. Komplexní péče pro mladší a svěžejší vzhled. Šetrné ošetření bez bolesti."
ostatni-sluzby,OSTATNÍ SLUŽBY,Balíček 5 ošetření sleva 10%,,1,"Balíček 5 ošetření různých služeb se slevou 10%. Flexibilní program pro kombinaci procedur. Ušetříte čas i peníze. Ideální pro pravidelnou péči o krásu a zdraví."
ostatni-sluzby,OSTATNÍ SLUŽBY,Balíček 15 ošetření sleva 15%,,1,"Prémiový balíček 15 ošetření se slevou 15% pro náročné klienty. Komplexní péče o tělo a pleť. Maximální výsledky s profesionálními technologiemi. Ideální pro dlouhodobou údržbu krásy."
Prodlužování vlasů,OSTATNÍ SLUŽBY,Nové nasazení vlasů,26Kč,,Mikro spoje keratinem pro prodloužení vlasů. Přirozený vzhled, pevné spoje. Cena za pramen. Výdrž 3-4 měsíce s pravidelnou obnovou. Profesionální metoda bez poškození vlasů.
Prodlužování vlasů,OSTATNÍ SLUŽBY,Posunutí vlasů,29Kč,,Posunutí prodloužených vlasů mikro spoji keratinem. Údržba pro zachování délky a hustoty. Cena za pramen. Nutné pro dlouhodobý efekt. Šetrné k vlastním vlasům.
Prodlužování vlasů,OSTATNÍ SLUŽBY,Rozčesání dredu cena za půl hodiny,300Kč,,Rozčesání a úprava prodloužených vlasů. Cena za půl hodiny. Nutná údržba pro zdravé vlasy. Profesionální péče o mikro spoje keratinem.
kosmetika,HYDRAFACIAL,Základní ošetření Hydrafacialem -  Basic,1 550Kč,1,"Základní Hydrafacial pro hloubkové čištění, hydrataci a exfoliaci pleti. Vakuové čištění pórů, chemický peeling, hydratace séry. Ideální pro suchou pleť. Okamžité osvěžení a jasná pleť."
kosmetika,HYDRAFACIAL,Ošetření Hydrafacialem - Standard,1 900Kč,1,"Standard Hydrafacial s pokročilým čištěním, exfoliací a hydratací. Vakuové extrakce, chemický peeling, antioxidanty. Zlepšuje texturu pleti, redukuje jemné vrásky. Profesionální péče pro zdravou pleť."
kosmetika,HYDRAFACIAL,Ošetření Hydrafacialem - GOLD,2 300Kč,1,"Prémiové Hydrafacial GOLD s maximální hydratací a anti-aging péčí. Hloubkové čištění, peeling, sérum s vitamíny, maska. Redukuje vrásky, zlepšuje elasticitu. Luxusní ošetření pro zářivou pleť."
