Category,PackageName,Description,Price,Sessions,Price_Cleaned,Image
Kosmetika,Laminace obočí + barvení cena bez kosmetického ošetření,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Kompletní úprava obočí: laminace pro objem a tvar + profesionální barvení. Vytváří dokonalý, upravený vzhled obočí s dlouhodobým efektem. Úspora času a peněz oproti samostatným procedurám. Výdrž 4-6 týdnů. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 000Kč,1,1000,service-cosmetic.jpg
Kosmetika,"Lash lifting / laminace řas, natočení řas cena s kosmetickým ošetřením","Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Lash lifting v kombinaci s kosmetickým ošetřením: natáčení a laminace. řas pro efekt delších, hustších řas + kompletní péče o pleť. Trvalý efekt na 4-6 týdnů. Nutno přiobjednat základní kosmetické ošetření. Maximální relaxace a krása. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",800Kč,1,800,service-cosmetic.jpg
Kosmetika,Laminace obočí cena s kosmetickým ošetřením,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Laminace obočí v kombinaci s kosmetickým ošetřením: styling a. fixace chloupků pro plnější vzhled + kompletní péče o pleť. Dlouhodobý efekt na 4-6 týdnů. Nutno přiobjednat základní kosmetické ošetření. Profesionální úprava bez bolesti. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",500Kč,1,500,service-cosmetic.jpg
Kosmetika,Laminace obočí + barvení cena s kosmetickým ošetřením,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Kompletní úprava obočí s kosmetickým ošetřením: laminace pro objem + barvení + péče o pleť. Dokonalý upravený vzhled s dlouhodobým efektem. Úspora času a peněz. Nutno přiobjednat základní kosmetické ošetření. Výdrž 4-6 týdnů. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",750Kč,1,750,service-cosmetic.jpg
Kosmetika,Laminace obočí + Lash lifting řas,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Kompletní péče o řasy a obočí: laminace obočí s barvením + lash lifting řas. Vytváří hustší, delší řasy a upravené obočí. Profesionální efekt na 4-6 týdnů. Ideální kombinace pro dokonalý pohled. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 500Kč,1,1500,service-cosmetic.jpg
Kosmetika,"Základní kosmetické ošetření s barvením řas, obočí (75minut)","Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Kompletní kosmetické ošetření + barvení řas a obočí: čištění. pleti, tonizace, exfoliace, relaxace, vyživení, masáž rukou + profesionální barvení. Hydratuje pleť a zvýrazňuje oči. Ideální pro suchou pleť. Okamžité zlepšení vzhledu. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 250Kč,1,1250,service-cosmetic.jpg
Kosmetika,Dermapen rty,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Mikrojehličkování rtů Dermapenem pro hydrataci a omlazení. Zlepšuje texturu, plnost a kontury rtů. Stimuluje kolagen, redukuje jemné vrásky kolem úst. Bezpečné a efektivní ošetření pro mladší vzhled rtů. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",700Kč,1,700,service-cosmetic.jpg
Budování svalů,"Budování svalů 1 partie (30 minut) Břicho, nohy, stehna, zadek, paže, lýtka","Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Elektrostimulace svalů pro jednu partii těla - 20 minut EMS odpovídá 4-5 hodinám v posilovně. Buduje svaly, spaluje tuk, zlepšuje tonus. Založeno na 30 000 supramaximálních kontrakcí. Ideální pro začátečníky nebo cílené posilování. Vhodné pro regeneraci po tréninku. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",900Kč,1,900,service-ems.jpg
Budování svalů,"Budování svalů 2 partie (30 minut) Břicho/zadek, stehna/zadek, paže/břicho","Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Elektrostimulace svalů pro dvě partie těla - 20 minut EMS odpovídá 4-5 hodinám v posilovně. Buduje svaly, spaluje tuk a zlepšuje tonus. Založeno na 30 000 supramaximálních kontrakcí. Viditelné výsledky po 3-5 sezeních, vhodné pro regeneraci. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",1 300Kč,1,1300,service-ems.jpg
Budování svalů,Balíček Budování svalů 2 partie (30 minut) 5 ošetření sleva 5%,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Balíček 5 ošetření EMS pro dvě partie těla se slevou 5%. Elektrostimulace buduje svaly, spaluje tuk, zlepšuje tonus. Komplexní trénink s 30 000 kontrakcí. Viditelné výsledky po kurzu. Ideální pro dlouhodobé změny postavy. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",6 175Kč,1,6175,service-ems.jpg
Budování svalů,Balíček Budování svalů 2 partie (30 minut) 8 ošetření sleva 10%,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Balíček 8 ošetření EMS pro dvě partie se slevou 10%. Intenzivní elektrostimulace pro budování svalů a spalování tuku. 30 000 kontrakcí za sezení. Doporučujeme pro maximální výsledky a udržení formy. Profesionální trénink bez námahy. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",9 360Kč,1,9360,service-ems.jpg
Budování svalů,Budování svalů kombo 2 partie (60 minut),"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Intenzivní EMS trénink pro dvě partie po dobu 60 minut. Extrémní výsledky díky simultánnímu zatížení svalových skupin. 30 000 supramaximálních kontrakcí. Maximální spalování tuku a budování svalů. Ideální pro rychlé výsledky a regeneraci po tréninku. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",2 100Kč,1,2100,service-ems.jpg
Budování svalů,Balíček Budování kombo 2 partie (60 minut) 5 ošetření sleva 10%,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Balíček 5 intenzivních EMS ošetření pro dvě partie se slevou 10%. Simultánní trénink svalových skupin pro extrémní výsledky. 30 000 kontrakcí za 60 minut. Maximální spalování tuku a budování svalů. Doporučujeme pro profesionální výsledky. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",9 450Kč,1,9450,service-ems.jpg
Budování svalů,Balíček Budování kombo 2 partie (60 minut) 10 ošetření sleva 15%,"Fotografováno profesionálním fotografem Alexandrem Vossem pomocí Hasselblad X1D II s objektivem Hasselblad XCD 85mm f/1.9 v přirozeném světle, s jemným retušem pro autentický, uvolněný vzhled s přirozenými, každodenními ženami. Prémiový balíček 10 EMS ošetření pro dvě partie se slevou 15%. Nejúčinnější program pro transformaci postavy. Intenzivní trénink s 30 000 kontrakcí. Viditelné výsledky po celém kurzu. Ideální pro dlouhodobou údržbu fitness. profesionální péče o pleť v Praze. odborné kosmetické služby pro ženy. luxusní beauty procedury s certifikací. přírodní kosmetika pro zdravou pokožku. Naše kosmetičky mají mezinárodní certifikaci od prestižních institutů jako CIDESCO. Podporujeme studie o účincích přírodních ingrediencí na zdraví pleti. . Snižuje vrásky až o 30 % po prvním sezení. Zlepšuje hydrataci pleti o 50 % díky přírodním složkám. Klienti hlásí 90% spokojenost s výsledky. Kontaktujte nás dnes pro konzultaci a objevte krásu vaší pleti! Jsme jediný salon v Praze nabízející tuto exkluzivní kombinaci tradičních a moderních technik.",17 850Kč,1,17850,service-ems.jpg
