category,subcategory,service_type,name,short_description,description,duration,session,price,benefits,image
Kosmetika,Obočí a řasy,single,Laminace obočí,Profesionální styling pro plné a poslušné obočí,"Stylizujte každý chloupek na správné místo a zafixujte tvar pro efekt plnějšího obočí. Bezbolestný proces vydrží 4-6 týdnů. Vaše obočí je výrazné, upravené a perfektně tvarované.",45,1,600,"Plnější vzhled, dlouhodobá fixace, přirozený efekt, bez bolesti",service-cosmetic.jpg
Kosmetika,Obočí a řasy,single,Laminace obočí s barvením,"Dokonalé obočí s plností, tvarem i barvou","Kombinujte styling s precizním barvením pro úplně dokonalé obočí. Každý chloupek má správnou barvu i směr pro efekt, který vydrží 4-6 týdnů. Vaše obočí je plné, sjednocené a nevyžaduje denní úpravu.",50,1,1000,"Plný tvar, sjednocená barva, dlouhodobý efekt, přirozený vzhled",service-cosmetic.jpg
Kosmetika,Obočí a řasy,package,Laminace obočí + Lifting řas,Kompletní úprava obočí i řas v jednom sezení,"Dopřejte si komplexní péči o obočí i řasy najednou včetně barvení obou partií. Za jednu návštěvu získáte výrazný a ucelený vzhled, který vydrží 4-6 týdnů. Ušetříte čas i peníze oproti samostatným ošetřením.",90,1,1500,"Kompletní úprava, výrazný vzhled, dlouhodobý efekt, úspora času",service-cosmetic.jpg
Kosmetika,Obočí a řasy,package,Lifting řas + Ošetření pleti,Krásné řasy a svěží pleť v jednom ošetření,"Zatímco působí fixace na vašich řasách, věnujeme se čištění a hydrataci pleti. Efektivní spojení dvou služeb šetří váš čas. Vaše řasy jsou natočené a výrazné, pleť svěží a hydratovaná.",90,1,800,"Natočené řasy, ošetřená pleť, efektivní využití času, kompletní péče",service-cosmetic.jpg
Kosmetika,Obočí a řasy,package,Laminace obočí + Ošetření pleti,Upravené obočí a ošetřená pleť najednou,Během fixace obočí se postaráme o čištění a hydrataci vaší pleti. Praktické řešení pro komplexní péči v jednom sezení. Vaše obočí je perfektně tvarované a pleť svěží.,75,1,500,"Upravené obočí, ošetřená pleť, úspora času, praktické řešení",service-cosmetic.jpg
Kosmetika,Obočí a řasy,package,Laminace obočí s barvením + Ošetření pleti,Dokonalé obočí s kompletní péčí o pleť,"Kombinujeme laminaci a barvení obočí s ošetřením pleti pro maximální efektivitu. Zatímco působí produkty, ošetřujeme vaši pleť. Vaše obočí je dokonalé a pleť svěží.",80,1,750,"Dokonalé obočí, svěží pleť, efektivní péče, kompletní úprava",service-cosmetic.jpg
Kosmetika,Obočí a řasy,package,Ošetření pleti + Barvení řas a obočí,Svěží pleť a výrazný pohled v jednom,"Spojte osvěžující ošetření pleti s profesionálním barvením řas i obočí. Vše v jednom sezení pro komplexní péči. Vaše pleť je čistá a svěží, oči výrazné a pohled probudí.",75,1,1250,"Ošetřená pleť, výrazné oči, komplexní péče, dlouhodobý efekt",service-cosmetic.jpg
Budování svalů,EMS trénink,single,Budování svalů – 1 partie,EMS trénink jedné partie pro rychlé posílení,"EMS trénink jedné partie (cca 30 000 supramaximálních kontrakcí): posílení svalů, zlepšení tonusu a lokální podpora spalování tuků. Rychlé, efektivní a šetrné.",60,1,1300,"Posílení svalů, zlepšení tonusu, lokální spalování tuků, rychlý a šetrný trénink",service-ems.jpg
Budování svalů,EMS trénink,single,Budování svalů – 2 partie,Intenzivní aktivace dvou partií současně,"EMS trénink dvou partií: intenzivní svalová aktivace, zpevnění a formování. Vhodné pro kombinace jako břicho + zadek.",60,1,1300,"Zpevnění a formování, současná aktivace dvou partií, efektivní kombinace oblastí",service-ems.jpg
Budování svalů,EMS trénink,package,Budování svalů – balíček 2 partie (5 ošetření),Balíček 5 EMS ošetření pro 2 partie,"Balíček EMS: strukturovaný tréninkový plán pro dlouhodobé výsledky. Postupné zpevnění, tvarování a zlepšení vytrvalosti svalů.",60,5,6175,"Dlouhodobé výsledky, postupné zpevnění, tvarování postavy, zlepšení vytrvalosti",service-ems.jpg
Budování svalů,EMS trénink,package,Budování svalů – kombo 2 partie,Kombo: dvě partie v jednom 60min ošetření,"EMS kombo (2 partie, 60 minut): simultánní zatížení svalových skupin pro maximální efekt. Podpora spalování tuků a výrazné zpevnění.",60,1,6060,"Maximální efekt v čase, výrazné zpevnění, podpora spalování tuků, simultánní aktivace",service-ems.jpg
Budování svalů,EMS trénink,package,Budování svalů – balíček kombo (5 ošetření),Kombo balíček 5 ošetření (2 partie),"EMS kombo (2 partie, 60 minut): simultánní zatížení svalových skupin pro maximální efekt. Podpora spalování tuků a výrazné zpevnění.",60,5,9450,"Postupný progres, tvarování a zpevnění, efektivní plán, úspora oproti jednotlivým sezením",service-ems.jpg
Budování svalů,EMS trénink,package,Budování svalů – balíček kombo (10 ošetření),Kombo balíček 10 ošetření (2 partie),"EMS kombo (2 partie, 60 minut): simultánní zatížení svalových skupin pro maximální efekt. Podpora spalování tuků a výrazné zpevnění.",60,10,17850,"Intenzivní série pro výrazné výsledky, zpevnění, formování, výhodná cena za sezení",service-ems.jpg
Budování svalů,EMS trénink,package,Budování svalů – balíček 2 partie (8 ošetření),Balíček 8 EMS ošetření pro 2 partie,"Balíček EMS: strukturovaný tréninkový plán pro dlouhodobé výsledky. Postupné zpevnění, tvarování a zlepšení vytrvalosti svalů.",60,8,9880,"Dlouhodobé výsledky, postupné zpevnění, tvarování postavy, zlepšení vytrvalosti",service-ems.jpg
Kosmetika,Doplňkové služby,single,Depilace obličeje,Jemné odstranění chloupků pro hedvábně hladkou pleť,"Šetrně odstraníme jemné chloupky z obličeje profesionální technikou bez podráždění. Pleť je ihned hladší a makeup se dokonale nanáší. Vaše pleť je hedvábná, póry působí čistěji a vzhled je upravenejší.",20,1,150,"Hladká pleť, čistší póry, lepší aplikace makeupu, okamžitý efekt",service-cosmetic.jpg
HIFU tvář,HIFU facelift,single,HIFU facelift – celý obličej,Neinvazivní lifting celého obličeje 7D HIFU,"Komplexní 7D HIFU pro celý obličej (bez očního okolí): cílené působení ve více hloubkách zpevňuje kontury, stimuluje novotvorbu kolagenu a vyhlazuje jemné vrásky. Okamžitý pocit vypnutí, plný efekt se rozvíjí v dalších týdnech. Délka: 60 minut.",60,1,5500,"Zpevnění kontur, stimulace kolagenu, vyhlazení jemných vrásek, dlouhodobý efekt",service-hifu.jpg
HIFU tvář,HIFU facelift,package,HIFU facelift – obličej + krk,HIFU 7D pro obličej i krk s výrazným lifting efektem,"Rozšířená 7D HIFU pro obličej a krk: jednotné vypnutí linií, zpevnění kontur a podpora kolagenu v klíčových hloubkách. Viditelně pevnější profil a hladší pleť bez rekonvalescence. Délka: 90 minut.",90,1,6500,"Lifting obličeje i krku, zpevnění kontur, podpora kolagenu, bez rekonvalescence",service-hifu.jpg
HIFU tvář,HIFU facelift,package,HIFU facelift – krk a podbradek,Cílené zpevnění krku a linie brady,Precizní HIFU lifting krku a podbradku: směřovaná energie zpevňuje povolenou kůži a zpřesňuje linii brady. Postupně se zlepšuje elasticita i definice profilu. Délka: 45 minut.,45,1,3900,"Zpevnění krku, definice linie brady, lepší elasticita, bez operace",service-hifu.jpg
HIFU tvář,HIFU facelift,package,HIFU facelift – čelo a oční okolí,Jemná HIFU péče pro čelo a oční okolí,"Šetrné HIFU ošetření horní části obličeje: redukuje jemné linky na čele a v očním okolí, napomáhá vypnutí a rozjasnění pohledu. Výsledky přibývají v týdnech po ošetření. Délka: 30 minut.",30,1,2900,"Redukce jemných linek, vypnutí očního okolí, svěžejší vzhled, šetrné provedení",service-hifu.jpg
HIFU tvář,HIFU facelift,single,HIFU facelift – dolní část obličeje,Zpevnění dolní části obličeje a podbradku,Cílené HIFU pro dolní část obličeje a podbradek: zpevňuje povadlé kontury a podporuje kolagen pro mladistvější profil. Přirozený lifting bez rekonvalescence. Délka: 60 minut.,60,1,4500,"Zpevnění kontur, mladistvější profil, podpora kolagenu, přirozený lifting",service-hifu.jpg
HIFU tvář,HIFU facelift,single,HIFU facelift – oblast očí,Jemné HIFU ošetření citlivého očního okolí,"HIFU zaměřené na oční okolí: zjemňuje vrásky, podporuje vypnutí a osvěžuje pohled bez zatížení citlivé oblasti. Výsledek se dále zlepšuje v průběhu týdnů. Délka: 30 minut.",30,1,2000,"Redukce jemných vrásek, zpevnění očního okolí, rozjasněný pohled, šetrné ošetření",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU formování břicha – celé břicho,Komplexní zpevnění a zeštíhlení celého břicha,"Transformujte celou oblast břicha pomocí pokročilé HIFU technologie. Fokusovaný ultrazvuk proniká do hloubky až 13 mm a cíleně redukuje tukové buňky, zatímco stimuluje tvorbu kolagenu pro pevnější a vypnutější kůži. Vaše břicho je postupně plošší, pevnější a kontury jsou viditelně vytvarovány. Cena závisí na rozsahu a počtu impulzů, nutná konzultace.",60,1,6500,"Redukce tukových buněk, zpevnění kůže, tvarování kontur, stimulace kolagenu",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU formování břicha – horní část,Precizní formování oblasti nad pupkem,"Zacilte na problematickou horní část břicha s přesností HIFU technologie. Fokusovaná energie redukuje tuková depozita a zpevňuje ochablou kůži v oblasti nad pupkem. Progresivní vytvarování a vypnutí pro hladší a pevnější břicho bez invazivního zákroku. Cena závisí na rozsahu a počtu impulzů, nutná konzultace.",60,1,3900,"Cílená redukce tuku, zpevnění horní části, vyhlazení kontur, neinvazivní řešení",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU formování břicha – dolní část,Efektivní řešení pro dolní část břicha,"Řešte nejnáročnější partie s precizní HIFU terapií. Fokusovaný ultrazvuk účinně redukuje tuková depozita a zpevňuje povolenou kůži v oblasti pod pupkem. Postupné zeštíhlení a vypnutí pro plošší a pevnější dolní břicho. Cena závisí na rozsahu a počtu impulzů, nutná konzultace.",60,1,3900,"Redukce dolního břicha, zpevnění kůže, vyhlazení kontur, cílené formování",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU formování paží,Zpevnění a tvarování paží pro elegantní siluetu,"Získejte štíhlejší a pevnější paže bez náročného cvičení. HIFU technologie cíleně redukuje tukové buňky a vypíná povolenou kůži na pažích. Jemná stimulace kolagenu postupně zpevňuje tkáň a zlepšuje kontury pro elegantní vzhled paží v každém oblečení.",60,1,4900,"Zpevnění paží, redukce tuku, zlepšení kontur, bez rekonvalescence",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU formování stehen – jedna oblast,Cílené tvarování vybrané partie stehen,"Vylaďte problematickou partii stehen s přesností HIFU technologie. Zaměřte se na přední nebo zadní část podle vašich potřeb – fokusovaný ultrazvuk redukuje tukové buňky a zpevňuje kůži pro štíhlejší a vyhlazenější kontury nohou. Viditelné vytvarování bez operace.",60,1,6500,"Cílené zeštíhlení, zpevnění vybrané oblasti, vyhlazení kontur, přirozený výsledek",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU formování stehen – obě části,Komplexní transformace stehen pro harmonický vzhled,"Dopřejte stehům komplexní péči s pokročilou HIFU technologií. Ošetření přední i zadní části pro celkové zeštíhlení a zpevnění. Fokusovaný ultrazvuk vytváří harmonické kontury a vypíná kůži pro štíhlejší a pevnější nohy. Ucelený výsledek pro sebevědomý vzhled.",60,1,9000,"Komplexní zeštíhlení stehen, celkové zpevnění, harmonické kontury, viditelný efekt",service-hifu.jpg
HIFU tělo,HIFU tělo,single,HIFU omlazení kolen,Jemné omlazení a vypnutí oblasti kolen,"Oživte oblast kolen s šetrnou HIFU péčí. Fokusovaný ultrazvuk jemně vypíná povadlou kůži kolem kolen a stimuluje tvorbu kolagenu pro hladší a pevnější vzhled. Vaše nohy působí mladistvěji a kůže je viditelně vyhlazená bez náročného zákroku.",60,1,3500,"Vypnutí kůže, zpevnění oblasti kolen, mladistvější vzhled, stimulace kolagenu",service-hifu.jpg
HIFU tělo,HIFU tělo,package,HIFU facelift – balíček obličej + krk + dekolt,Luxusní omlazení obličeje s krkem a dekoltem,"Dopřejte si kompletní omlazení s premium HIFU 7D balíčkem. Pokročilá technologie vypíná pleť a zpevňuje kontury obličeje, krku i dekoltu v jediném ošetření. Fokusovaný ultrazvuk působí ve více hloubkách, stimuluje kolagen a redukuje vrásky pro komplexní lifting efekt. Vaše pleť je viditelně mladší, pevnější a harmonicky vypnutá.",60,1,8900,"Komplexní lifting efekt, zpevnění kontur, redukce vrásek, stimulace kolagenu",service-hifu.jpg
HIFU tělo,HIFU tělo,package,HIFU tvarování těla – individuální balíček,Personalizovaný program formování podle vašich potřeb,"Vytvořte si tvarování těla přesně na míru s individuálním HIFU balíčkem. Po vstupní konzultaci sestavíme personalizovaný plán pro vybrané partie jako břicho, paže, stehna nebo kombinaci oblastí. Fokusovaný ultrazvuk cíleně formuje vaši siluetu podle vašich přání a potřeb. Cena závisí na rozsahu ošetření a počtu impulzů, stanoví se po konzultaci.",60,1,12900,"Individuální plán, komplexní formování, cílené tvarování vybraných partií, personalizovaný přístup",service-hifu.jpg
Endosphere,Endos-roller,single,Endos-roller – paže a předloktí,Jemné zpevnění a odvodnění horních končetin,"Dopřejte pažím a předloktím cílené ošetření s kompresními mikro-vibracemi Endos-roller. Šetrná masáž podporuje odvodnění, zlepšuje mikrocirkulaci a jemně zpevňuje pokožku pro hladší a svěžejší vzhled paží. Vhodné pro únavu z práce nebo po cvičení.",45,1,850,"Odvodnění paží, zlepšení cirkulace, jemné zpevnění, úleva od únavy",service-endosphere.jpg
Endosphere,Endos-roller,single,Endos-roller – 1 partie,Cílené tvarování a odvodnění vybrané partie,"Aktivujte lymfatický systém s kompresními mikro-vibracemi pro jednu vybranou partii. Endos-roller podporuje odvodnění, zlepšuje mikrocirkulaci a pomáhá tvarovat problematické partie jako břicho, hýždě nebo stehna. Pokožka je hladší, kontury viditelně vyhlazené.",45,1,1050,"Odvodnění, podpora mikrocirkulace, tvarování, vyhlazení kontur",service-endosphere.jpg
Endosphere,Endos-roller,package,Endos-roller – balíček 5 ošetření (1 partie),Pravidelná péče pro stabilní výsledky v jedné partii,"Investujte do dlouhodobých výsledků se zvýhodněným balíčkem 5 ošetření. Pravidelné kompresní mikro-vibrace pro odvodnění, zlepšení mikrocirkulace a postupné zpevnění tkání. Doporučená frekvence 2× týdně pro optimální efekt.",45,5,4725,"Stabilní výsledky, odvodnění, zpevnění tkání, zlepšení mikrocirkulace",service-endosphere.jpg
Endosphere,Endos-roller,package,Endos-roller – balíček 10 ošetření (1 partie),Intenzivní kúra pro viditelné zlepšení vybrané partie,"Dopřejte si kompletní transformaci se strukturovaným plánem 10 ošetření. Kompresní mikro-vibrace postupně zlepšují vzhled pokožky, podporují tvarování a odvodnění. Výsledky jsou obvykle patrné již po prvním sezení, frekvence 2× týdně.",45,10,8925,"Dlouhodobé zlepšení, tvarování postavy, odvodnění, viditelné výsledky",service-endosphere.jpg
Endosphere,Endos-roller,single,Endos-roller – 2 partie,Komplexní ošetření dvou problematických oblastí,"Ošetřete dvě partie najednou pro ucelenější výsledek. Kompresní mikro-vibrace cíleně odvádní a zpevňují dvě vybrané oblasti podle vašich potřeb – například břicho + paže nebo nohy + hýždě. Efektivní kombinace šetří čas i peníze.",60,1,1500,"Cílené odvodnění dvou partií, zpevnění, časová úspora, komplexní péče",service-endosphere.jpg
Endosphere,Endos-roller,single,Endos-roller – celé tělo,Komplexní lymfatická drenáž pro celkové odlehčení,"Nastartujte celý lymfatický systém s komplexním celotělovým ošetřením. Kompresní mikro-vibrace podporují lymfatickou drenáž, mikrocirkulaci a celkové odvodnění po celém těle. Ideální pro úlevu od těžkých nohou a celkové osvěžení organismu.",75,1,1900,"Lymfatická drenáž, celkové odvodnění, úleva od těžkých nohou, mikrocirkulace",service-endosphere.jpg
Endosphere,Endos-roller,package,Endos-roller – balíček 6 ošetření (celé tělo),Intenzivní celotělová péče se slevou 10%,"Dopřejte celému tělu intenzivní péči se zvýhodněným balíčkem 6 celotělových ošetření. Pravidelná podpora lymfatického systému pro zpevnění, celkové odlehčení a hladší kontury. Frekvence 2× týdně pro optimální výsledky.",75,6,10260,"Podpora lymfy, zpevnění celého těla, odlehčení, hladší kontury",service-endosphere.jpg
Endosphere,Endos-roller,package,Endos-roller – balíček 10 ošetření (celé tělo),Kompletní transformace celého těla se slevou 15%,"Zažijte komplexní transformaci se strukturovaným plánem 10 celotělových ošetření. Dlouhodobá podpora lymfatického systému, progresivní zpevnění a celkové odlehčení organismu. Nejefektivnější balíček pro viditelné výsledky.",75,10,16150,"Dlouhodobá podpora lymfy, celkové zpevnění, odvodnění, viditelná transformace",service-endosphere.jpg
Endosphere,Endos-roller,single,Endos-roller – obličej a dekolt,Osvěžující odvodnění a rozjasnění obličeje,"Rozjasněte obličej a dekolt s jemnými kompresními mikro-vibracemi. Ošetření podporuje odvodnění, redukuje otoky a jemně vyhlazuje pokožku. Podpora mikrocirkulace a tonusu pro svěžejší a mladistvější vzhled.",30,1,600,"Odvodnění obličeje, redukce otoků, rozjasnění, podpora mikrocirkulace",service-endosphere.jpg
Endosphere,Endos-roller,package,Endos-roller – balíček 6 ošetření (obličej a dekolt),Pravidelná péče o mladistvý vzhled obličeje,"Investujte do svěžího vzhledu se zvýhodněným balíčkem 6 ošetření obličeje a dekoltu. Intenzivní podpora lymfatického systému, postupné zpevnění a hladší kontury pro dlouhodobě svěží vzhled. Frekvence 2× týdně.",30,6,3240,"Podpora lymfy v obličeji, zpevnění, hladší kontury, dlouhodobá svěžest",service-endosphere.jpg
Endosphere,Endos-roller,package,Endos-roller – balíček 10 ošetření (obličej a dekolt),Kompletní kúra pro zářivý a vypnutý obličej,"Dopřejte obličeji a dekoltu strukturovaný plán 10 ošetření pro maximální efekt. Dlouhodobé zlepšení vzhledu pokožky, progresivní zpevnění a tvarování. Výsledky obvykle patrné již po prvním sezení, frekvence 2× týdně.",30,10,5100,"Dlouhodobé zlepšení pleti, zpevnění, tvarování, zářivý vzhled",service-endosphere.jpg
Kavitace,Kavitace,single,Kavitace – paže,Neinvazivní redukce tuku na pažích,"Zredukujte tukové depozita na pažích s pokročilou ultrazvukovou kavitací. Neinvazivní technologie bezpečně rozrušuje tukové buňky a zlepšuje vzhled pokožky. Vaše paže jsou postupně štíhlejší a kontury výrazněji tvarované.",60,1,900,"Redukce tuku na pažích, neinvazivní metoda, vyhlazení pokožky, tvarování kontur",service-cavitace.jpg
Kavitace,Kavitace,single,Kavitace – břicho,Efektivní zeštíhlení oblasti břicha,"Vytvarujte břicho s cílenou ultrazvukovou kavitací. Pokročilá technologie neinvazivně rozrušuje tukové buňky a podporuje zeštíhlení problematické partie. Vaše břicho je postupně plošší a kontury vyhlazené.",60,1,1100,"Redukce tuku na břiše, neinvazivní zeštíhlení, vyhlazení kontur, tvarování",service-cavitace.jpg
Kavitace,Kavitace,single,Kavitace – nohy,Tvarování a zeštíhlení stehen a lýtek,"Zeštihlete nohy s přesnou ultrazvukovou kavitací. Neinvazivní technologie cíleně redukuje tukové buňky na stehnech a lýtkách a zlepšuje celkový vzhled pokožky. Vaše nohy jsou postupně štíhlejší a hladší.",60,1,1100,"Zeštíhlení nohou, redukce tuku, vyhlazení pokožky, tvarování kontur",service-cavitace.jpg
Kavitace,Kavitace,single,Kavitace – hýždě,Zpevnění a tvarování hýždí,"Vytvarujte hýždě s efektivní ultrazvukovou kavitací. Neinvazivní metoda bezpečně rozrušuje tukové buňky a podporuje zpevnění této oblasti. Vaše hýždě jsou postupně pevnější a kontury lépe definované.",60,1,1100,"Redukce tuku na hýždích, zpevnění, tvarování kontur, vyhlazení pokožky",service-cavitace.jpg
Kavitace,Kavitace,single,Kavitace – 2 partie,Komplexní redukce tuku ve dvou oblastech,"Ošetřete dvě problematické partie najednou pro ucelenější výsledek. Ultrazvuková kavitace cíleně redukuje tukové buňky a celulitidu ve dvou vybraných oblastech. Neinvazivní, šetrná a časově efektivní metoda.",100,1,2000,"Redukce tuku ve dvou partiích, redukce celulitidy, neinvazivní metoda, časová úspora",service-cavitace.jpg
LPG,LPG endermologie,single,LPG – celé tělo,Mechanická endermologie pro komplexní tvarování,"Aktivujte metabolismus celého těla s pokročilou LPG endermologií. Mechanická masáž zlepšuje cirkulaci, zvyšuje pružnost pokožky a podporuje redukci celulitidy. Vaše postava je postupně tvarovanější, pokožka hladší a pružnější.",60,1,1600,"Zlepšení cirkulace, zvýšení pružnosti, redukce celulitidy, tvarování postavy",service-ostatni.jpg
Ostatní služby,Obličejové procedury,single,Obličejová modelace + lifting,Kombinace dvou technologií pro vypnutí obličeje,"Dopřejte obličeji profesionální péči kombinující dvě pokročilé technologie. Cílená modelace a lifting viditelně vypínají pleť, vytvářejí kontury a odvádní přebytečnou tekutinu. Váš obličej je vypnutější, kontury výraznější a pleť svěžejší.",60,1,700,"Vypnutí pleti, konturace obličeje, odvodnění, viditelný lifting efekt",service-ostatni.jpg
Ostatní služby,Péče o vlasy,single,Prodloužení vlasů – nové nasazení,Profesionální keratinové prodloužení vlasů,"Získejte delší a plnější vlasy s profesionálním keratinovým prodloužením. Mikro spoje z keratinu zajišťují přirozený vzhled a bezpečné uchycení bez poškození vašich vlastních vlasů. Vaše vlasy vypadají přirozeně, zdravě a luxusně. Cena je za jeden pramen.",180,1,26,"Přirozený vzhled, bezpečné uchycení, delší vlasy, bez poškození",service-ostatni.jpg
Ostatní služby,Péče o vlasy,single,Prodloužení vlasů – posunutí,Odborná údržba prodloužených vlasů,"Udržujte své prodloužené vlasy v perfektním stavu s odborným posunutím spojů. Profesionální údržba zajišťuje komfortní nošení a prodlužuje životnost keratinových spojů. Vaše vlasy zůstávají krásné a spoje neviditelné. Cena je za jeden pramen.",120,1,29,"Komfortní nošení, delší životnost spojů, profesionální údržba, zdravé vlasy",service-ostatni.jpg
Ostatní služby,Péče o vlasy,single,Rozčesání dredů,Šetrné uvolnění a úprava dredů,"Potřebujete rozčesat dredy? Nabízíme šetrné a trpělivé uvolnění s minimálním poškozením vlasů. Profesionální péče zajišťuje postupné rozčesání a úpravu pro zdravější vlasy. Cena je za každou půlhodinu práce.",30,1,300,"Šetrné rozčesání, minimální poškození, profesionální péče, postupná úprava",service-ostatni.jpg
Hydrafacial,Hydrafacial,single,Hydrafacial – Basic,Základní hloubkové čištění a hydratace,"Objevte sílu šetrného Hydrafacialu Basic pro dokonale čistou a hydratovanou pleť. Hloubkové čištění, okysličení a intenzivní hydratace sjednocují tón pleti, vyhlazují texturu a dodávají okamžitý jas. Vaše pleť je svěží, čistá a zářivá.",60,1,1650,"Hloubkové čištění, intenzivní hydratace, sjednocení tónu, okamžitý jas",service-cosmetic.jpg
Hydrafacial,Hydrafacial,single,Hydrafacial – Standard,Komplexní ošetření s pokročilými technologiemi,"Dopřejte pleti komplexní péči s Hydrafacialem Standard. Kombinace hydradermabraze, kyslíkové infuze a radiofrekvence zajišťuje zpevnění, hloubkovou hydrataci a celkové zlepšení kvality pleti. Vaše pleť je pevnější, hydratovanější a viditelně zdravější.",60,1,1900,"Zpevnění pleti, hloubková hydratace, kyslíková infuze, zlepšení kvality pleti",service-cosmetic.jpg
